Codigo IBGE;IDADE;SEXO;COR;homic;Nome;IDH;Populacao
330010;1;0;1;1;Angra dos Reis;0,724;6951
330010;1;0;2;0;Angra dos Reis;0,724;586
330010;1;0;3;0;Angra dos Reis;0,724;5033
330010;1;1;1;0;Angra dos Reis;0,724;7092
330010;1;1;2;0;Angra dos Reis;0,724;627
330010;1;1;3;0;Angra dos Reis;0,724;5169
330010;2;0;1;5;Angra dos Reis;0,724;7533
330010;2;0;2;0;Angra dos Reis;0,724;930
330010;2;0;3;0;Angra dos Reis;0,724;6689
330010;2;1;1;20;Angra dos Reis;0,724;7308
330010;2;1;2;38;Angra dos Reis;0,724;1039
330010;2;1;3;0;Angra dos Reis;0,724;6776
330010;3;0;1;2;Angra dos Reis;0,724;7937
330010;3;0;2;3;Angra dos Reis;0,724;1274
330010;3;0;3;0;Angra dos Reis;0,724;6178
330010;3;1;1;50;Angra dos Reis;0,724;7250
330010;3;1;2;78;Angra dos Reis;0,724;1428
330010;3;1;3;0;Angra dos Reis;0,724;6554
330010;4;0;1;5;Angra dos Reis;0,724;7473
330010;4;0;2;2;Angra dos Reis;0,724;1118
330010;4;0;3;0;Angra dos Reis;0,724;5923
330010;4;1;1;26;Angra dos Reis;0,724;6986
330010;4;1;2;37;Angra dos Reis;0,724;1465
330010;4;1;3;0;Angra dos Reis;0,724;5886
330010;5;0;1;0;Angra dos Reis;0,724;6140
330010;5;0;2;0;Angra dos Reis;0,724;895
330010;5;0;3;0;Angra dos Reis;0,724;4674
330010;5;1;1;12;Angra dos Reis;0,724;5700
330010;5;1;2;6;Angra dos Reis;0,724;1084
330010;5;1;3;0;Angra dos Reis;0,724;4888
330010;6;0;1;0;Angra dos Reis;0,724;4398
330010;6;0;2;0;Angra dos Reis;0,724;682
330010;6;0;3;0;Angra dos Reis;0,724;3147
330010;6;1;1;7;Angra dos Reis;0,724;4257
330010;6;1;2;5;Angra dos Reis;0,724;865
330010;6;1;3;0;Angra dos Reis;0,724;3439
330010;7;0;1;0;Angra dos Reis;0,724;2397
330010;7;0;2;0;Angra dos Reis;0,724;306
330010;7;0;3;0;Angra dos Reis;0,724;1641
330010;7;1;1;4;Angra dos Reis;0,724;2293
330010;7;1;2;3;Angra dos Reis;0,724;359
330010;7;1;3;0;Angra dos Reis;0,724;1725
330010;8;0;1;0;Angra dos Reis;0,724;1213
330010;8;0;2;0;Angra dos Reis;0,724;159
330010;8;0;3;0;Angra dos Reis;0,724;649
330010;8;1;1;1;Angra dos Reis;0,724;1010
