Código IBGE;Nome do Município;Código UF;UF;Estado;Latitude;Longitude
520005;Abadia de Goiás;52;GO;Goiás;-167.573;-494.412
310010;Abadia dos Dourados;31;MG;Minas Gerais;-184.831;-473.916
520010;Abadiânia;52;GO;Goiás;-16.197;-487.057
310020;Abaeté;31;MG;Minas Gerais;-191.551;-454.444
150010;Abaetetuba;15;PA;Pará;-172.183;-488.788
230010;Abaiara;23;CE;Ceará;-734.588;-390.416
290010;Abaíra;29;BA;Bahia;-132.488;-416.619
290020;Abaré;29;BA;Bahia;-872.073;-391.162
410010;Abatiá;41;PR;Paraná;-233.049;-503.133
420005;Abdon Batista;42;SC;Santa Catarina;-276.126;-510.233
150013;Abel Figueiredo;15;PA;Pará;-495.333;-483.933
420010;Abelardo Luz;42;SC;Santa Catarina;-265.716;-523.229
310030;Abre Campo;31;MG;Minas Gerais;-202.996;-424.743
260005;Abreu e Lima;26;PE;Pernambuco;-790.072;-348.984
170025;Abreulândia;17;TO;Tocantins;-962.101;-491.518
310040;Acaiaca;31;MG;Minas Gerais;-20.359;-431.439
210005;Açailândia;21;MA;Maranhão;-494.714;-475.004
290030;Acajutiba;29;BA;Bahia;-116.575;-380.197
150020;Acará;15;PA;Pará;-195.383;-481.985
230015;Acarape;23;CE;Ceará;-422.083;-387.055
230020;Acaraú;23;CE;Ceará;-288.769;-401.183
240010;Acari;24;RN;Rio Grande do Norte;-64.282;-366.347
220005;Acauã;22;PI;Piauí;-821.954;-410.831
430003;Aceguá;43;RS;Rio Grande do Sul;-318.665;-541.615
230030;Acopiara;23;CE;Ceará;-608.911;-39.448
510010;Acorizal;51;MT;Mato Grosso;-15.194;-563.632
120001;Acrelândia;12;AC;Acre;-982.581;-668.972
520013;Acreúna;52;GO;Goiás;-17.396;-503.749
310050;Açucena;31;MG;Minas Gerais;-190.671;-425.419
350010;Adamantina;35;SP;São Paulo;-21.682;-510.737
520015;Adelândia;52;GO;Goiás;-164.127;-501.657
350020;Adolfo;35;SP;São Paulo;-212.325;-496.451
410020;Adrianópolis;41;PR;Paraná;-246.606;-489.922
290035;Adustina;29;BA;Bahia;-105.437;-381.113
260010;Afogados da Ingazeira;26;PE;Pernambuco;-774.312;-37.631
240030;Afonso Bezerra;24;RN;Rio Grande do Norte;-549.229;-365.075
320010;Afonso Cláudio;32;ES;Espírito Santo;-200.778;-411.261
210010;Afonso Cunha;21;MA;Maranhão;-413.631;-433.275
260020;Afrânio;26;PE;Pernambuco;-851.136;-410.095
150030;Afuá;15;PA;Pará;-0.154874;-503.861
260030;Agrestina;26;PE;Pernambuco;-845.966;-359.447
220010;Agricolândia;22;PI;Piauí;-579.676;-426.664
420020;Agrolândia;42;SC;Santa Catarina;-274.087;-49.822
420030;Agronômica;42;SC;Santa Catarina;-272.662;-49.708
150034;Água Azul do Norte;15;PA;Pará;-679.053;-504.791
310060;Água Boa;31;MG;Minas Gerais;-179.914;-423.806
510020;Água Boa;51;MT;Mato Grosso;-14.051;-521.601
270010;Água Branca;27;AL;Alagoas;-9.262;-37.938
220020;Água Branca;22;PI;Piauí;-588.856;-42.637
250010;Água Branca;25;PB;Paraíba;-751.144;-376.357
500020;Água Clara;50;MS;Mato Grosso do Sul;-204.452;-52.879
310070;Água Comprida;31;MG;Minas Gerais;-200.576;-481.069
420040;Água Doce;42;SC;Santa Catarina;-269.985;-515.528
210015;Água Doce do Maranhão;21;MA;Maranhão;-284.048;-421.189
320016;Água Doce do Norte;32;ES;Espírito Santo;-185.482;-409.854
290040;Água Fria;29;BA;Bahia;-118.618;-387.639
520017;Água Fria de Goiás;52;GO;Goiás;-149.778;-477.823
520020;Água Limpa;52;GO;Goiás;-180.771;-487.603
240040;Água Nova;24;RN;Rio Grande do Norte;-620.351;-382.941
260040;Água Preta;26;PE;Pernambuco;-870.609;-355.263
430005;Água Santa;43;RS;Rio Grande do Sul;-281.672;-52.031
350030;Aguaí;35;SP;São Paulo;-220.572;-469.735
310080;Aguanil;31;MG;Minas Gerais;-209.439;-453.915
260050;Águas Belas;26;PE;Pernambuco;-911.125;-371.226
350040;Águas da Prata;35;SP;São Paulo;-219.319;-467.176
420050;Águas de Chapecó;42;SC;Santa Catarina;-270.754;-529.808
350050;Águas de Lindóia;35;SP;São Paulo;-224.733;-466.314
350055;Águas de Santa Bárbara;35;SP;São Paulo;-228.812;-492.421
350060;Águas de São Pedro;35;SP;São Paulo;-225.977;-478.734
310090;Águas Formosas;31;MG;Minas Gerais;-170.802;-409.384
420055;Águas Frias;42;SC;Santa Catarina;-268.794;-528.568
520025;Águas Lindas de Goiás;52;GO;Goiás;-157.617;-482.816
420060;Águas Mornas;42;SC;Santa Catarina;-276.963;-488.243
310100;Águas Vermelhas;31;MG;Minas Gerais;-157.431;-414.571
430010;Agudo;43;RS;Rio Grande do Sul;-296.447;-532.515
350070;Agudos;35;SP;São Paulo;-224.694;-489.863
410030;Agudos do Sul;41;PR;Paraná;-259.899;-493.343
320013;Águia Branca;32;ES;Espírito Santo;-189.846;-407.437
250020;Aguiar;25;PB;Paraíba;-70.918;-381.681
170030;Aguiarnópolis;17;TO;Tocantins;-655.409;-474.702
310110;Aimorés;31;MG;Minas Gerais;-195.007;-410.746
290060;Aiquara;29;BA;Bahia;-141.269;-398.937
230040;Aiuaba;23;CE;Ceará;-657.122;-401.178
310120;Aiuruoca;31;MG;Minas Gerais;-219.736;-446.042
430020;Ajuricaba;43;RS;Rio Grande do Sul;-282.342;-537.757
310130;Alagoa;31;MG;Minas Gerais;-22.171;-446.413
250030;Alagoa Grande;25;PB;Paraíba;-703.943;-356.206
250040;Alagoa Nova;25;PB;Paraíba;-705.377;-357.591
250050;Alagoinha;25;PB;Paraíba;-694.657;-355.332
260060;Alagoinha;26;PE;Pernambuco;-84.665;-367.788
220025;Alagoinha do Piauí;22;PI;Piauí;-700.039;-409.282
290070;Alagoinhas;29;BA;Bahia;-121.335;-384.208
350075;Alambari;35;SP;São Paulo;-235.503;-47.898
310140;Albertina;31;MG;Minas Gerais;-222.018;-466.139
210020;Alcântara;21;MA;Maranhão;-239.574;-444.062
230050;Alcântaras;23;CE;Ceará;-358.537;-405.479
250053;Alcantil;25;PB;Paraíba;-773.668;-360.511
500025;Alcinópolis;50;MS;Mato Grosso do Sul;-183.255;-537.042
290080;Alcobaça;29;BA;Bahia;-175.195;-392.036
210030;Aldeias Altas;21;MA;Maranhão;-462.621;-434.689
430030;Alecrim;43;RS;Rio Grande do Sul;-276.579;-547.649
320020;Alegre;32;ES;Espírito Santo;-20.758;-415.382
430040;Alegrete;43;RS;Rio Grande do Sul;-297.902;-557.949
220027;Alegrete do Piauí;22;PI;Piauí;-724.196;-408.566
430045;Alegria;43;RS;Rio Grande do Sul;-278.345;-540.557
310150;Além Paraíba;31;MG;Minas Gerais;-218.797;-427.176
150040;Alenquer;15;PA;Pará;-194.623;-547.384
240050;Alexandria;24;RN;Rio Grande do Norte;-640.533;-380.142
520030;Alexânia;52;GO;Goiás;-160.834;-485.076
310160;Alfenas;31;MG;Minas Gerais;-214.256;-459.477
320030;Alfredo Chaves;32;ES;Espírito Santo;-206.396;-407.543
350080;Alfredo Marcondes;35;SP;São Paulo;-219.527;-51.414
310163;Alfredo Vasconcelos;31;MG;Minas Gerais;-211.535;-437.718
420070;Alfredo Wagner;42;SC;Santa Catarina;-277.001;-493.273
250057;Algodão de Jandaíra;25;PB;Paraíba;-689.292;-360.129
250060;Alhandra;25;PB;Paraíba;-742.977;-349.057
260070;Aliança;26;PE;Pernambuco;-760.398;-352.227
170035;Aliança do Tocantins;17;TO;Tocantins;-113.056;-489.361
290090;Almadina;29;BA;Bahia;-147.089;-396.415
170040;Almas;17;TO;Tocantins;-115.706;-471.792
310170;Almenara;31;MG;Minas Gerais;-161.785;-406.942
240060;Almino Afonso;24;RN;Rio Grande do Norte;-61.475;-377.636
