cadmium;copper;lead;zinc;elev;dist;om;ffreq;soil;lime;landuse;dist.m;lat;long
11,7;85;299;1022;7,909;0,00135803;13,6;1;1;1;Ah;50;50,99156;5,758539
8,6;81;277;1141;6,983;0,0122243;14;1;1;1;Ah;30;50,99109;5,757866
6,5;68;199;640;7,8;0,103029;13;1;1;1;Ah;150;50,99089;5,759858
2,6;81;116;257;7,655;0,190094;8;1;2;0;Ga;270;50,99041;5,761748
2,8;48;117;269;7,48;0,27709;8,7;1;2;0;Ah;380;50,98902;5,761865
3;61;137;281;7,791;0,364067;7,8;1;2;0;Ga;470;50,98839;5,763042
3,2;31;132;346;8,217;0,190094;9,2;1;2;0;Ah;240;50,98939;5,759846
2,8;29;150;406;8,49;0,0921516;9,5;1;1;0;Ab;120;50,98933;5,75788
2,4;37;133;347;8,668;0,184614;10,6;1;1;0;Ab;240;50,98815;5,75834
1,6;24;80;183;9,049;0,309702;6,3;1;2;0;W;420;50,98757;5,760785
1,4;25;86;189;9,015;0,315116;6,4;1;2;0;Fh;400;50,9871;5,760198
1,8;25;97;251;9,073;0,228123;9;1;1;0;Ag;300;50,98635;5,757927
11,2;93;285;1096;7,32;0;15,4;1;1;1;W;20;50,98912;5,755699
2,5;31;183;504;8,815;0,113932;8,4;1;1;0;Ah;130;50,98834;5,757046
2;27;130;326;8,937;0,168336;9,1;1;1;0;Ah;220;50,98752;5,757637
9,5;86;240;1032;7,702;0;16,2;1;1;1;W;10;50,98829;5,755066
7;74;133;606;7,16;0,0122243;16;1;1;1;W;10;50,98702;5,754102
7,1;69;148;711;7,1;0,0122243;16;1;1;1;W;10;50,98583;5,75311
8,7;69;207;735;7,02;0;13,7;1;1;1;W;10;50,98471;5,752118
12,9;95;284;1052;6,86;0;14,8;1;1;1;NA;10;50,98346;5,751111
5,5;53;194;673;8,908;0,0703468;10,2;1;1;1;Am;80;50,98346;5,75235
2,8;35;123;402;8,99;0,0975136;7,2;1;1;1;Am;140;50,98354;5,753234
2,9;35;110;343;8,83;0,113932;7,2;1;1;1;Ag;160;50,98306;5,75323
1,7;24;85;218;9,02;0,342321;7;1;2;0;Ah;440;50,98539;5,759643
1,4;26;75;200;8,976;0,385804;6,9;1;2;0;W;490;50,98447;5,75955
1,5;22;76;194;8,973;0,429289;6,3;1;2;0;W;530;50,98407;5,759831
1,3;27;73;207;8,507;0,315116;5,6;1;2;0;Ab;400;50,98407;5,757567
1,3;24;67;180;8,743;0,320574;4,4;1;2;0;Ag;400;50,98326;5,757062
1,8;22;87;240;8,973;0,249863;5,3;1;2;0;Ah;330;50,98385;5,756255
1,5;21;65;180;9,043;0,489064;4,8;1;2;0;Ag;630;50,98557;5,762478
1,3;29;78;208;8,688;0,472778;2,6;1;2;0;B;570;50,9822;5,759332
1,3;21;64;198;8,727;0,287957;1;1;2;0;Ag;390;50,98148;5,755695
2,1;27;77;250;8,328;0,271622;2,4;1;2;0;Ah;360;50,98114;5,754995
1,2;26;80;192;7,971;0,385807;1,9;1;2;0;B;500;50,98067;5,756771
1,6;27;82;213;7,809;0,418417;3,1;1;2;0;B;550;50,97994;5,756794
3;32;97;321;6,986;0,244474;1,6;1;2;0;Ab;340;50,98006;5,753292
5,8;50;166;569;7,756;0,135709;3,5;1;2;0;Ab;210;50,9811;5,752189
