ANO;MES;LATITUDE;LONGITUDE
2016; 1;-23,53394;-46,63710
2016; 2;-23,50761;-46,38175
2016; 2;-23,50374;-46,42552
2016; 7;-23,68496;-46,75623
2016; 5;-23,63281;-46,71007
2016;12;-23,62014;-46,47722
2016;12;-23,53254;-46,43382
2016; 5;-23,53085;-46,64345
2016; 7;-23,45102;-46,65175
2016; 5;-23,53343;-46,53248
2016; 7;-23,48450;-46,69138
2016; 7;-23,64694;-46,76878
2016; 5;-23,64899;-46,59494
2016; 2;-23,59770;-46,44960
2016; 9;-23,49403;-46,64656
2016; 5;-23,62303;-46,75866
2016; 7;-23,61206;-46,64097
2016;12;-23,51830;-46,62512
2016;12;-23,45516;-46,74080
2016; 7;-23,60951;-46,48525
2016;12;-23,53836;-46,56187
2016; 1;-23,48441;-46,57821
2016; 1;-23,58114;-46,57745
2016; 1;-23,74572;-46,66439
2016; 1;-23,74355;-46,67405
2016; 2;-23,63791;-46,71695
2016; 6;-23,55109;-46,74007
2016; 2;-23,65813;-46,76280
2016;12;-23,55647;-46,45259
2016; 9;-23,53887;-46,44592
2016; 7;-23,55915;-46,49080
2016; 5;-23,44860;-46,71700
2016; 9;-23,55485;-46,75140
2016; 9;-23,73572;-46,70316
2016; 7;-23,60529;-46,48025
2016; 7;-23,51288;-46,39309
2016; 7;-23,59115;-46,76977
2016; 5;-23,62205;-46,46003
2016; 5;-23,49973;-46,41513
2016; 6;-23,52573;-46,40937
2016;10;-23,61320;-46,62171
2016; 4;-23,57227;-46,60270
2016; 1;-23,60252;-46,61389
2016; 9;-23,62684;-46,47450
2016; 5;-23,51081;-46,51855
2016; 1;-23,53294;-46,48175
2016; 5;-23,57360;-46,69859
2016;12;-23,59159;-46,40886
2016; 4;-23,51952;-46,39735
2016;11;-23,53861;-46,63815
2016; 1;-23,67034;-46,73274
2016; 7;-23,48975;-46,48557
2016;12;-23,57351;-46,49383
2016;10;-23,59980;-46,66622
2016;12;-23,51140;-46,62513
2016; 1;-23,65394;-46,66694
2016; 5;-23,61626;-46,45967
2016;11;-23,48749;-46,56848
2016; 7;-23,53120;-46,65657
2016; 6;-23,55560;-46,67426
2016; 6;-23,66660;-46,77183
2016;10;-23,51746;-46,42895
2016; 7;-23,54604;-46,64304
2016; 7;-23,79430;-46,73576
2016; 2;-23,61964;-46,58300
2016;12;-23,56335;-46,66377
2016; 7;-23,49230;-46,45636
2016; 2;-23,59506;-46,75554
2016;12;-23,74559;-46,78483
2016;10;-23,43514;-46,72610
2016; 2;-23,57767;-46,50340
2016;12;-23,44811;-46,71702
2016; 7;-23,50587;-46,39206
