Municipio;Casos;ID_OBJETO;Casos2
Angra dos Reis;  81; 93;  90
Aperibe;   4; 94;   3
Araruama;  65; 95;  60
Areal;   2; 96;   5
Armacao dos Buzios;  14; 97;  10
Arraial do Cabo;   8; 98;  14
Barra do Pirai;  14; 99;  23
Barra Mansa;  14;100;  24
Belford Roxo; 105;101; 108
Bom Jardim;   4;102;   5
Bom Jesus do Itabapoana;   9;103;   7
Cabo Frio;  44;104;  51
Cachoeiras de Macacu;   5;105;   3
Cambuci;   4;106;   4
Carapebus;   0;107;   5
Comendador Levy Gasparian;   0;108;   1
Campos dos Goytacazes; 196;109; 202
Cantagalo;   2;110;   5
Cardoso Moreira;   5;111;   6
Carmo;   2;112;   5
Casimiro de Abreu;  14;113;  18
Conceicao de Macabu;   6;114;   8
Cordeiro;   3;115;   0
Duas Barras;   0;116;   5
Duque de Caxias; 372;117; 375
Engenheiro Paulo de Frontin;   0;118;  10
Guapimirim;  61;119;  57
Iguaba Grande;   9;120;  13
Itaborai;  85;121;  88
Itaguai;  37;122;  43
Italva;   3;123;  10
Itaocara;   3;124;   8
Itaperuna;  29;125;  39
Itatiaia;   4;126;  14
Japeri;  54;127;  50
Laje do Muriae;   1;128;   5
Macae;  42;129;  49
Macuco;   0;130;   5
Mage; 129;131; 130
Mangaratiba;   9;132;   6
Marica;  34;133;  32
Mendes;   3;134;   5
Mesquita;  43;135;  47
Miguel Pereira;   0;136;   5
Miracema;   4;137;   9
Natividade;   3;138;  11
Nilopolis;  38;139;  48
Niteroi;  63;140;  68
Nova Friburgo;   7;141;  14
Nova Iguacu; 291;142; 297
Paracambi;  15;143;  21
Paraiba do Sul;   2;144;   5
Paraty;  19;145;  14
Paty do Alferes;   1;146;   5
Petropolis;  10;147;  11
Pinheiral;   3;148;   7
Pirai;   7;149;   3
Porciuncula;   6;150;  13
Porto Real;   2;151;   0
Quatis;   1;152;   5
Queimados;  58;153;  57
Quissama;   7;154;  11
Resende;  27;155;  22
Rio Bonito;  23;156;  21
Rio Claro;   0;157;  10
Rio das Flores;   1;158;   4
Rio das Ostras;  25;159;  32
Rio de Janeiro;1003;160;1013
Santa Maria Madalena;   1;161;   1
Santo Antonio de Padua;  15;162;  20
S Francisco de Itabapoana;   6;163;   8
S Fidelis;  10;164;  14
S Goncalo; 292;165; 299
S Joao da Barra;  13;166;  22
S Joao de Meriti;  91;167;  89
S Jose de Uba;   4;168;  11
S Jose do Vale do Rio Preto;   0;169;   5
S Pedro da Aldeia;  19;170;  20
S Sebastiao do Alto;   1;171;   6
Sapucaia;   2;172;  10
Saquarema;  17;173;  13
Seropedica;  31;174;  40
Silva Jardim;   9;175;  17
Sumidouro;   4;176;  10
Tangua;   8;177;   4
Teresopolis;  10;178;  19
Trajano de Moraes;   1;179;   7
Tres Rios;  10;180;   7
Valenca;   2;181;   7
Varre Sai;   3;182;   0
Vassouras;   3;183;   6
Volta Redonda;  47;184;  57
