x;y;causa;data
325,034886; 74,87501;intentional;1998-01-07
284,914977;304,87501;lightning;1998-01-07
324,874986;204,87499;lightning;1998-01-07
264,874990;294,87499;lightning;1998-01-07
 24,886996;234,87499;other;1998-01-07
115,154823; 94,87499;other;1998-01-08
234,874991;174,87499;accident;1998-01-08
244,954967;354,87498;other;1998-01-08
124,914959;124,87498;accident;1998-01-09
245,074892;354,87498;accident;1998-01-09
 95,074861;264,87499;intentional;1998-01-09
 95,114836;264,87499;intentional;1998-01-09
265,194790; 84,87500;intentional;1998-01-11
335,034872;184,87498;accident;1998-01-11
164,875009; 84,87500;other;1998-02-07
114,914973; 94,87499;accident;1998-02-07
334,914947;184,87498;accident;1998-02-07
134,875010;244,87502;accident;1998-02-07
115,194798; 94,87499;intentional;1998-02-08
184,874981;334,87497;intentional;1998-02-08
 54,875002;234,87499;other;1998-02-08
 64,994913;244,87502;other;1998-02-08
124,954934;124,87498;intentional;1998-02-09
234,914966;254,87500;accident;1998-02-09
294,874988;204,87499;accident;1998-02-09
175,114845;234,87499;accident;1998-02-09
274,994941; 84,87500;accident;1998-02-10
194,875007;234,87499;accident;1998-02-16
214,875019;354,87498;intentional;1998-02-17
174,874995;234,87499;other;1998-02-17
194,914982;234,87499;intentional;1998-02-20
224,875005;374,87500;other;1998-02-24
264,874990;314,87500;accident;1998-02-26
 64,874988;254,87500;accident;1998-02-27
 64,914963;254,87500;other;1998-02-27
244,875017;294,87499;accident;1998-03-03
264,874990;304,87501;lightning;1998-03-07
144,874997;174,87499;accident;1998-03-07
325,114836; 74,87501;other;1998-03-08
144,874997;154,87498;intentional;1998-03-08
174,874995;104,87501;intentional;1998-03-08
164,914984;154,87498;intentional;1998-03-08
324,874986;174,87499;accident;1998-03-08
324,914961;204,87499;accident;1998-03-08
134,994935;194,87501;accident;1998-03-09
135,034910;194,87501;accident;1998-03-09
304,875014;234,87499;accident;1998-03-10
284,875002;304,87501;accident;1998-03-15
274,875016; 84,87500;intentional;1998-03-16
294,874988;254,87500;accident;1998-03-16
284,875002;334,87497;intentional;1998-03-16
334,874972;164,87501;accident;1998-03-17
254,875003; 64,87499;accident;1998-03-17
334,874972;184,87498;accident;1998-03-17
174,874995;174,87499;other;1998-03-17
 64,954938;254,87500;intentional;1998-03-17
 84,875000;104,87501;other;1998-03-19
 64,874988; 94,87499;other;1998-03-20
214,875019;374,87500;other;1998-03-20
174,954945;234,87499;accident;1998-03-21
284,875002;344,87500;other;1998-03-22
354,874984;134,87501;accident;1998-03-24
284,875002;264,87499;accident;1998-03-24
 94,874986; 64,87499;other;1998-03-25
324,874986;254,87500;accident;1998-03-25
274,875016; 64,87499;accident;1998-03-26
224,875005;324,87499;accident;1998-03-26
264,874990;224,87501;accident;1998-03-28
254,875003;344,87500;accident;1998-04-03
194,875007;354,87498;intentional;1998-04-03
184,874981;204,87499;accident;1998-04-07
174,914970;104,87501;other;1998-04-08
214,954969;324,87499;accident;1998-04-08
204,914968;334,87497;accident;1998-04-08
134,914985;254,87500;accident;1998-04-08
194,875007;194,87501;accident;1998-04-08
105,034912;134,87501;intentional;1998-04-09
344,914973;224,87501;other;1998-04-09
204,874993;304,87501;accident;1998-04-09
224,954955;324,87499;accident;1998-04-09
204,914968;324,87499;intentional;1998-04-09
 95,074861;254,87500;other;1998-04-09
 95,114836;254,87500;other;1998-04-09
265,234765; 84,87500;accident;1998-04-11
 95,234761;264,87499;intentional;1998-04-12
304,954964; 74,87501;accident;1998-04-17
344,874998;154,87498;accident;1998-04-18
254,914978; 64,87499;accident;1998-04-27
344,874998;125,87500;accident;1998-05-07
114,874998; 84,87500;accident;1998-05-07
314,875000;324,87499;accident;1998-05-07
144,874997;234,87499;accident;1998-05-07
214,875019; 84,87500;accident;1998-05-08
234,874991;184,87498;accident;1998-05-08
214,875019;364,87501;accident;1998-05-08
 54,914977;234,87499;accident;1998-05-08
154,914958;174,87499;accident;1998-05-08
184,914956;204,87499;other;1998-05-09
124,874984;254,87500;other;1998-05-09
284,875002;244,87502;accident;1998-06-03
324,874986;234,87499;accident;1998-06-03
244,875017;324,87499;intentional;1998-06-03
324,914961; 74,87501;other;1998-06-04
204,874993;334,87497;intentional;1998-06-05
284,875002;114,87500;accident;1998-06-07
234,874991;124,87498;accident;1998-06-08
324,914961;144,87500;accident;1998-06-08
174,954945;104,87501;intentional;1998-06-08
294,874988;214,87502;accident;1998-06-08
194,875007;324,87499;accident;1998-06-08
175,034895;334,87497;accident;1998-06-09
224,994930;324,87499;other;1998-06-09
 84,875000;194,87501;intentional;1998-06-09
184,954931;224,87501;accident;1998-06-09
334,874972;224,87501;accident;1998-06-14
 74,875014;214,87502;accident;1998-06-14
264,874990;124,87498;accident;1998-06-17
 84,875000;114,87500;other;1998-06-19
324,954936; 74,87501;intentional;1998-06-21
264,874990;204,87499;intentional;1998-06-21
324,994911; 74,87501;intentional;1998-06-22
170,674981;328,62500;accident;1998-06-22
 34,878987;244,87502;accident;1998-06-22
324,874986;114,87500;lightning;1998-06-23
134,875010;114,87500;other;1998-06-23
154,914958;224,87501;accident;1998-06-23
254,954953; 64,87499;accident;1998-06-26
114,874998; 94,87499;accident;1998-06-26
274,875016;304,87501;other;1998-06-27
174,874995;314,87500;accident;1998-06-27
104,875012;134,87501;intentional;1998-06-28
 74,875014;134,87501;other;1998-06-28
234,874991;294,87499;accident;1998-06-28
 24,882998;234,87499;accident;1998-06-28
164,875009;154,87498;accident;1998-06-29
 64,874988;244,87502;other;1998-06-29
124,874984;224,87501;other;1998-06-30
 54,875002;254,87500;accident;1998-06-30
 94,874986;264,87499;intentional;1998-06-30
 64,874988;164,87501;accident;1998-07-03
244,875017;314,87500;accident;1998-07-03
244,875017;354,87498;other;1998-07-03
114,954948; 94,87499;other;1998-07-07
244,875017;124,87498;intentional;1998-07-08
114,874998;164,87501;intentional;1998-07-08
 84,914975;174,87499;intentional;1998-07-08
204,914968;274,87502;accident;1998-07-08
194,914982;304,87501;intentional;1998-07-08
164,875009;234,87499;accident;1998-07-08
274,994941; 34,87499;accident;1998-07-09
