LAW_CAT_CD;TYPE;BORO_NM;Day;Longitude;Latitude
FELONY;VANDALISM;QUEENS;1;-73,71571773;40,7450548
FELONY;ROBBERY;BRONX;1;-73,86595252;40,87788687
FELONY;ROBBERY;QUEENS;3;-73,77590919;40,68004873
FELONY;ROBBERY;BROOKLYN;4;-73,95131865;40,68914147
FELONY;ROBBERY;QUEENS;2;-73,83716683;40,6968729
FELONY;VANDALISM;QUEENS;5;-73,81190735;40,70234589
FELONY;ROBBERY;STATEN ISLAND;6;-74,16529615;40,55747773
FELONY;ROBBERY;QUEENS;3;-73,73476086;40,72629034
FELONY;ROBBERY;BRONX;2;-73,91105692;40,85301132
FELONY;MURDER;QUEENS;3;-73,75533339;40,67214849
FELONY;MURDER;MANHATTAN;4;-73,99040703;40,73376199
FELONY;MURDER;MANHATTAN;2;-73,98693228;40,73364363
FELONY;MURDER;QUEENS;10;-73,90618795;40,70428936
FELONY;MURDER;BRONX;12;-73,8551272;40,82916073
FELONY;MURDER;BROOKLYN;13;-73,95483155;40,68798461
FELONY;MURDER;BROOKLYN;14;-73,93376292;40,69153438
FELONY;ROBBERY;MANHATTAN;15;-73,98557031;40,75794273
FELONY;ROBBERY;QUEENS;13;-73,72053132;40,73145528
FELONY;ROBBERY;BROOKLYN;14;-73,92817317;40,65848666
FELONY;ROBBERY;MANHATTAN;15;-73,92871519;40,85618823
FELONY;ROBBERY;BROOKLYN;12;-73,9052496;40,66919392
FELONY;ROBBERY;BROOKLYN;11;-73,9193326;40,63418121
FELONY;ROBBERY;BRONX;1;-73,9034677;40,82191038
FELONY;ROBBERY;BRONX;7;-73,84547307;40,9018471
FELONY;ROBBERY;QUEENS;8;-73,73928614;40,70667281
FELONY;ROBBERY;QUEENS;9;-73,89667456;40,75247917
FELONY;ROBBERY;BRONX;23;-73,89154142;40,85489945
FELONY;VANDALISM;QUEENS;29;-73,88399692;40,7016918
FELONY;ROBBERY;BROOKLYN;22;-73,98991633;40,61435599
FELONY;ROBBERY;MANHATTAN;21;-73,94106581;40,84164277
FELONY;ROBBERY;QUEENS;17;-73,85999676;40,69242621
FELONY;ROBBERY;MANHATTAN;12;-73,99133946;40,75002197
FELONY;ROBBERY;BRONX;17;-73,88437192;40,79115187
FELONY;MURDER;BROOKLYN;17;-73,9581852;40,71058354
FELONY;MURDER;MANHATTAN;17;-73,94684118;40,77834127
FELONY;MURDER;BRONX;12;-73,84939274;40,90574424
FELONY;MURDER;QUEENS;13;-73,86186352;40,75391662
FELONY;MURDER;BROOKLYN;12;-73,89255515;40,67042615
FELONY;MURDER;MANHATTAN;11;-73,93881407;40,8496534
FELONY;MURDER;BRONX;10;-73,92809429;40,82195307
FELONY;MURDER;BROOKLYN;21;-73,89237588;40,66089062
FELONY;VANDALISM;QUEENS;22;-73,82310183;40,75413534
FELONY;MURDER;MANHATTAN;23;-73,98931026;40,75535759
FELONY;MURDER;BROOKLYN;24;-73,93042148;40,66608285
FELONY;MURDER;QUEENS;24;-73,7356061;40,67420461
FELONY;MURDER;MANHATTAN;24;-73,99201627;40,76437704
FELONY;MURDER;MANHATTAN;24;-73,94177548;40,8153762
FELONY;MURDER;BRONX;25;-73,84778502;40,81794183
FELONY;MURDER;BROOKLYN;26;-73,87191498;40,6754115
FELONY;MURDER;MANHATTAN;27;-73,99054371;40,73683887
FELONY;VANDALISM;BRONX;28;-73,87887459;40,82731348
FELONY;MURDER;QUEENS;29;-73,90791017;40,74995804
FELONY;MURDER;MANHATTAN;30;-73,98969334;40,752289
FELONY;MURDER;BROOKLYN;30;-73,97172853;40,68753711
FELONY;MURDER;QUEENS;1;-73,79035098;40,71030691
FELONY;MURDER;STATEN ISLAND;2;-74,08769906;40,64203714
FELONY;VANDALISM;MANHATTAN;2;-73,99670988;40,75029673
FELONY;MURDER;STATEN ISLAND;2;-74,16502541;40,54402853
FELONY;MURDER;BROOKLYN;2;-73,97486713;40,68336304
FELONY;MURDER;BROOKLYN;2;-73,97337703;40,68589339
FELONY;MURDER;BROOKLYN;1;-74,01200107;40,64521822
FELONY;MURDER;MANHATTAN;3;-73,94475961;40,82404
FELONY;ROBBERY;MANHATTAN;3;-74,00405951;40,7131437
FELONY;ROBBERY;MANHATTAN;1;-73,95295451;40,80840422
FELONY;ROBBERY;BROOKLYN;1;-73,98182245;40,69586403
FELONY;ROBBERY;MANHATTAN;3;-73,98689338;40,76631162
FELONY;ROBBERY;BRONX;4;-73,91407902;40,83329562
FELONY;ROBBERY;BROOKLYN;2;-73,92273007;40,66224074
FELONY;ROBBERY;QUEENS;5;-73,76594825;40,68703084
FELONY;ROBBERY;BROOKLYN;6;-73,91556935;40,65840125
FELONY;ROBBERY;BROOKLYN;3;-73,93544159;40,66724957
FELONY;ROBBERY;QUEENS;2;-73,86689271;40,74241379
FELONY;ROBBERY;QUEENS;3;-73,77469988;40,68049651
FELONY;MURDER;BROOKLYN;4;-73,93027967;40,66381283
FELONY;MURDER;QUEENS;2;-73,76503952;40,6778422
FELONY;MURDER;QUEENS;10;-73,78885122;40,7055118
FELONY;MURDER;MANHATTAN;12;-73,99125629;40,72372998
FELONY;MURDER;QUEENS;13;-73,73554081;40,67430602
FELONY;MURDER;MANHATTAN;14;-73,96670153;40,80417664
FELONY;MURDER;MANHATTAN;15;-73,94296165;40,82240328
FELONY;MURDER;BRONX;13;-73,88530194;40,84455685
FELONY;MURDER;BROOKLYN;14;-73,93934674;40,71737394
FELONY;MURDER;QUEENS;15;-73,84156365;40,70110872
FELONY;MURDER;BROOKLYN;12;-73,95606713;40,66792902
FELONY;MURDER;MANHATTAN;11;-73,97951699;40,78152463
FELONY;MURDER;BROOKLYN;1;-73,91997008;40,65840714
FELONY;MURDER;BRONX;7;-73,92034941;40,81463604
FELONY;MURDER;BRONX;8;-73,91944674;40,83511924
FELONY;MURDER;BROOKLYN;9;-73,97775121;40,68446154
FELONY;MURDER;BRONX;23;-73,90798098;40,83718567
FELONY;MURDER;MANHATTAN;29;-73,97632605;40,78868503
FELONY;MURDER;QUEENS;22;-73,83352888;40,76876941
FELONY;MURDER;MANHATTAN;21;-73,98928218;40,75043077
FELONY;MURDER;BRONX;17;-73,81815462;40,84357851
FELONY;MURDER;BROOKLYN;12;-73,92405412;40,68964821
FELONY;ROBBERY;QUEENS;17;-73,83685527;40,72103465
FELONY;ROBBERY;MANHATTAN;17;-73,94042717;40,82835254
FELONY;ROBBERY;QUEENS;17;-73,84664732;40,69549706
FELONY;ROBBERY;MANHATTAN;12;-73,94492406;40,79124062
FELONY;ROBBERY;BRONX;13;-73,88829227;40,8717543
FELONY;ROBBERY;MANHATTAN;12;-74,00712133;40,70697881
FELONY;ROBBERY;MANHATTAN;11;-73,94403976;40,82502776
FELONY;ROBBERY;BRONX;10;-73,88958329;40,86075205
FELONY;ROBBERY;BROOKLYN;21;-73,95634564;40,65547057
FELONY;ROBBERY;MANHATTAN;22;-74,01170575;40,70776344
FELONY;ROBBERY;STATEN ISLAND;23;-74,0782008;40,64212359
FELONY;ROBBERY;BROOKLYN;24;-73,96878606;40,6878767
FELONY;ROBBERY;STATEN ISLAND;24;-74,07567804;40,64173826
FELONY;ROBBERY;BRONX;24;-73,90008459;40,82998794
FELONY;ROBBERY;BRONX;24;-73,90635708;40,86118682
FELONY;ROBBERY;BRONX;25;-73,88846881;40,84410708
FELONY;ROBBERY;BRONX;26;-73,90424377;40,83246995
FELONY;VANDALISM;QUEENS;27;-73,82185864;40,74931913
FELONY;VANDALISM;BRONX;28;-73,91861785;40,81553236
FELONY;VANDALISM;MANHATTAN;29;-73,98724823;40,76072885
FELONY;VANDALISM;BRONX;30;-73,92287618;40,81332304
FELONY;VANDALISM;BROOKLYN;30;-73,96238801;40,60718637
FELONY;VANDALISM;STATEN ISLAND;1;-74,1320943;40,63774029
FELONY;ROBBERY;BROOKLYN;2;-73,96572093;40,70931795
FELONY;ROBBERY;MANHATTAN;2;-73,97261161;40,79371804
FELONY;ROBBERY;BROOKLYN;2;-73,95988864;40,72103346
FELONY;ROBBERY;MANHATTAN;2;-73,98201446;40,74605199
FELONY;ROBBERY;MANHATTAN;2;-73,99084618;40,7152404
FELONY;RAPE;MANHATTAN;1;-73,98962218;40,7456714
FELONY;RAPE;BRONX;3;-73,84870747;40,82855139
FELONY;RAPE;STATEN ISLAND;3;-74,13500385;40,56029783
FELONY;RAPE;BROOKLYN;22;-73,99755196;40,62077374
FELONY;RAPE;MANHATTAN;23;-73,95935694;40,80612853
FELONY;RAPE;QUEENS;24;-73,82051356;40,74488426
FELONY;RAPE;BRONX;25;-73,81743745;40,84546299
FELONY;RAPE;BRONX;28;-73,87977465;40,88312524
FELONY;RAPE;QUEENS;29;-73,91787341;40,74251907
FELONY;RAPE;BROOKLYN;2;-74,00267497;40,63867525
FELONY;RAPE;QUEENS;2;-73,77948046;40,67837308
FELONY;RAPE;MANHATTAN;2;-73,99684042;40,73736896
FELONY;RAPE;BROOKLYN;2;-73,89599031;40,63823574
FELONY;RAPE;BROOKLYN;1;-73,96073884;40,6924333
FELONY;RAPE;MANHATTAN;3;-73,99771753;40,73012282
FELONY;RAPE;MANHATTAN;3;-73,97999532;40,75184033
FELONY;RAPE;BRONX;22;-73,89404245;40,86652284
FELONY;RAPE;BROOKLYN;23;-73,95103584;40,63724855
FELONY;VANDALISM;QUEENS;24;-73,74541518;40,69790049
FELONY;VANDALISM;MANHATTAN;25;-73,98518499;40,73763703
FELONY;VANDALISM;BRONX;28;-73,87327257;40,82990121
FELONY;VANDALISM;BROOKLYN;29;-73,92369109;40,67288015
FELONY;VANDALISM;MANHATTAN;2;-73,97346676;40,75942823
FELONY;VANDALISM;MANHATTAN;2;-73,93752514;40,82883957
FELONY;VANDALISM;BRONX;2;-73,92593076;40,8278199
FELONY;VANDALISM;STATEN ISLAND;2;-74,19264062;40,58904162
FELONY;VANDALISM;BRONX;1;-73,85028888;40,87568832
FELONY;ROBBERY;MANHATTAN;3;-73,99119252;40,74223785
FELONY;ROBBERY;BROOKLYN;3;-73,96736272;40,69329448
FELONY;ROBBERY;BROOKLYN;22;-73,97139115;40,63348407
FELONY;ROBBERY;QUEENS;23;-73,83524175;40,69805864
FELONY;ROBBERY;BROOKLYN;24;-73,95135757;40,72477402
FELONY;ROBBERY;BROOKLYN;25;-73,88920943;40,67935723
FELONY;ROBBERY;BRONX;28;-73,88232308;40,85106979
FELONY;ROBBERY;BROOKLYN;29;-73,92236131;40,68797003
FELONY;ROBBERY;QUEENS;2;-73,78843775;40,67668813
FELONY;ROBBERY;BROOKLYN;2;-74,00845752;40,63483776
FELONY;ROBBERY;QUEENS;2;-73,82359547;40,74355233
FELONY;ROBBERY;MANHATTAN;2;-73,9339749;40,85619136
FELONY;ROBBERY;BROOKLYN;1;-73,95152966;40,64192587
FELONY;ROBBERY;BROOKLYN;3;-74,00818097;40,64199892
FELONY;ROBBERY;BROOKLYN;3;-73,93749702;40,70105807
FELONY;ROBBERY;BROOKLYN;22;-74,02846913;40,63701665
FELONY;ROBBERY;MANHATTAN;23;-73,92488901;40,86399722
FELONY;ROBBERY;QUEENS;24;-73,83343076;40,69541282
FELONY;ROBBERY;MANHATTAN;25;-73,94800965;40,81712482
