no_bairro_residencia,num.vendas.1sem,num.vendas.2sem,num.vendas,gasto,porc_panfletagem
PAU FERRO,1,0,1,4460,0.1457142857142857
SANTO ANTONIO,6,2,8,4590,0.1632857142857143
PAISSANDU,11,4,15,4369,0.1738571428571428
ILHA DO LEITE,18,1,19,4614,0.2788571428571428
SOLEDADE,1,20,21,4788,0.2691428571428572
JAQUEIRA,20,4,24,4652,0.2737142857142857
TORREAO,3,27,30,4794,0.385
CABANGA,6,25,31,4647,0.2832857142857143
SANTANA,12,21,33,4852,0.4848571428571428
DERBY,20,14,34,4832,0.4702857142857143
CIDADE UNIVERSITARIA,22,15,37,4813,0.4854285714285714
HIPODROMO,1,37,38,4622,0.5887142857142857
AFLITOS,6,33,39,4682,0.6841428571428572
PARNAMIRIM,27,13,40,4637,0.687
TOTO,29,25,54,4721,0.6832857142857143
SITIO DOS PINTOS,39,18,57,4657,0.6871428571428572
APIPUCOS,52,10,62,4709,0.6935714285714286
PONTO DE PARADA,35,29,64,4726,0.682
POCO,63,8,71,4786,0.6971428571428572
SANCHO,61,13,74,4828,0.7044285714285714
CURADO,56,21,77,4849,0.7011428571428572
ILHA DO RETIRO,55,25,80,4982,0.6991428571428572
RECIFE,39,42,81,4811,0.7075714285714285
CACOTE,42,40,82,4821,0.7068571428571429
ALTO STA. TEREZINHA,68,15,83,4885,0.6911428571428572
BREJO DE BEBERIBE,53,33,86,4958,0.6988571428571428
ROSARINHO,76,20,96,4873,0.7034285714285714
COQUEIRAL,57,45,102,4852,0.7128571428571429
BONGI,46,63,109,4812,0.7008571428571428
TEJIPIO,11,98,109,4815,0.7004285714285714
PEIXINHOS,37,74,111,4602,0.7081428571428572
MONTEIRO,82,33,115,4759,0.7057142857142857
ESPINHEIRO,55,65,120,4753,0.7105714285714285
GRACAS,95,31,126,4762,0.6915714285714286
PORTO DA MADEIRA,111,19,130,4920,0.6951428571428572
CASA FORTE,5,126,131,4812,0.719
ZUMBI,10,122,132,4953,0.7011428571428572
JIQUIA,99,54,153,4812,0.7095714285714285
BREJO DA GUABIRABA,140,33,173,5003,0.7
ALTO DO MANDU,87,89,176,5060,0.7135714285714285
CAXANGA,96,85,181,4960,0.7084285714285714
ENGENHO DO MEIO,22,161,183,4874,0.702
FUNDAO,60,130,190,4912,0.7045714285714286
MANGABEIRA,113,97,210,4880,0.7115714285714285
BOA VISTA,98,117,215,4988,0.7181428571428572
MANGUEIRA,29,188,217,5038,0.7184285714285714
CAJUEIRO,192,26,218,5060,0.706
GUABIRABA,124,95,219,5106,0.7144285714285714
SAO JOSE,163,58,221,4980,0.722
ENCRUZILHADA,181,41,222,4958,0.7302857142857143
DOIS IRMAOS,117,108,225,5132,0.7152857142857143
TAMARINEIRA,175,59,234,4961,0.7184285714285714
BEBERIBE,188,66,254,4887,0.71
PASSARINHO,169,93,262,5012,0.716
SAN MARTIN,133,129,262,5245,0.72
ALTO JOSE BONIFACIO,101,174,275,5060,0.7324285714285714
COELHOS,123,157,280,5022,0.7262857142857143
MUSTARDINHA,111,176,287,5074,0.7364285714285714
BOMBA DO HEMETERIO,229,64,293,4860,0.7195714285714285
PRADO,126,179,305,5070,0.7268571428571429
CORREGO DO JENIPAPO,218,91,309,4925,0.723
LINHA DO TIRO,236,85,321,4973,0.7197142857142858
MORRO DA CONCEICAO,143,181,324,4873,0.7397142857142858
TORRE,145,194,339,5246,0.725
BARRO,247,124,371,5034,0.7391428571428571
ESTANCIA,282,95,377,5049,0.728
ALTO JOSE DO PINHO,247,167,414,5028,0.7331428571428571
ILHA JOANA BEZERRA,187,271,458,5082,0.7294285714285714
MACAXEIRA,307,151,458,5065,0.7874285714285714
ARRUDA,346,126,472,5150,0.8437142857142857
IPSEP,324,155,479,5293,0.8415714285714285
CAMPINA DO BARRETO,449,96,545,5236,0.8411428571428571
BRASILIA TEIMOSA,287,259,546,5024,0.847
TORROES,223,330,553,5188,0.88481428571428571
JORDAO,362,240,602,5274,0.88484285714285714
PINA,308,318,626,5007,0.89517142857142857
JARDIM SAO PAULO,538,132,670,5083,0.8517142857142857
DOIS UNIDOS,537,145,682,5230,0.91551428571428571
MADALENA,428,263,691,5253,0.92488571428571429
CORDEIRO,434,284,718,5158,0.92497142857142857
CASA AMARELA,489,257,746,5056,0.93667142857142857
VASCO DA GAMA,502,265,767,5238,0.964
SANTO AMARO,495,274,769,5208,0.9671428571428571
AREIAS,616,156,772,5024,0.9772857142857142
NOVA DESCOBERTA,493,358,851,5263,0.9575714285714286
BOA VIAGEM,863,157,1020,5190,0.9774
AGUA FRIA,723,312,1035,5285,0.9724285714285715
CAMPO GRANDE,531,535,1066,5132,0.9852857142857143
IPUTINGA,712,369,1081,5380,0.981
IMBIRIBEIRA,748,358,1106,5372,0.97831428571428571
VARZEA,864,306,1170,5387,0.97994285714285714
AFOGADOS,495,715,1210,5228,0.97937142857142857
IBURA,1065,845,1910,5586,0.98052857142857143
COHAB,1420,1662,3082,5466,0.9793
